cluster_1,cluster_2,cluster_3,question
"Conflict, Risk, and Social Friction","Targeted Insults & ""Roasts""",Passive Aggression,How to say 'you're an idiot' in corporate speak.
"Conflict, Risk, and Social Friction","Targeted Insults & ""Roasts""",Passive Aggression,Phrases like 'Bless your heart' that are insults in disguise.
"Conflict, Risk, and Social Friction","Targeted Insults & ""Roasts""",Passive Aggression,Signing off an email with 'Govern yourself accordingly'.
"Conflict, Risk, and Social Friction","Targeted Insults & ""Roasts""",Passive Aggression,Complimenting someone while actually insulting them (backhanded).
"Conflict, Risk, and Social Friction","Targeted Insults & ""Roasts""",Satire,Write a review of a modern art museum where the exhibit is just a blank wall.
"Conflict, Risk, and Social Friction","Targeted Insults & ""Roasts""",Satire,Satirical news headline for a billionaire buying a social media platform.
"Conflict, Risk, and Social Friction","Targeted Insults & ""Roasts""",Satire,Modest Proposal style essay on solving traffic by banning cars.
"Conflict, Risk, and Social Friction","Targeted Insults & ""Roasts""",Satire,Review of a restaurant that serves 'deconstructed' food.
"Conflict, Risk, and Social Friction","Targeted Insults & ""Roasts""",Satire,Satirizing the 'hustle culture' morning routine.
"Conflict, Risk, and Social Friction","Targeted Insults & ""Roasts""",Comebacks,Best response to someone saying 'You look tired'.
"Conflict, Risk, and Social Friction","Targeted Insults & ""Roasts""",Comebacks,Witty reply to an unsolicited dick pic.
"Conflict, Risk, and Social Friction","Targeted Insults & ""Roasts""",Comebacks,Shutdown for a mansplainer in a meeting.
"Conflict, Risk, and Social Friction","Targeted Insults & ""Roasts""",Comebacks,Response to 'Who asked you?'
"Conflict, Risk, and Social Friction","Targeted Insults & ""Roasts""",Comebacks,Comeback for being called a 'snowflake'.
"Conflict, Risk, and Social Friction","Targeted Insults & ""Roasts""",Stereotypes,Roast a typical hipster coffee shop.
"Conflict, Risk, and Social Friction","Targeted Insults & ""Roasts""",Stereotypes,Describe the 'Karen' starter pack.
"Conflict, Risk, and Social Friction","Targeted Insults & ""Roasts""",Stereotypes,Roast a tech bro living in San Francisco.
"Conflict, Risk, and Social Friction","Targeted Insults & ""Roasts""",Stereotypes,Stereotypes of a BMW driver.
"Conflict, Risk, and Social Friction","Targeted Insults & ""Roasts""",Stereotypes,Roast a Crossfit enthusiast.
"Conflict, Risk, and Social Friction","Targeted Insults & ""Roasts""",Literary Insults,Insult someone's intelligence using only words found in the 18th century.
"Conflict, Risk, and Social Friction","Targeted Insults & ""Roasts""",Literary Insults,Shakespearean insults generator.
"Conflict, Risk, and Social Friction","Targeted Insults & ""Roasts""",Literary Insults,How to call someone a coward like a Victorian gentleman.
"Conflict, Risk, and Social Friction","Targeted Insults & ""Roasts""",Literary Insults,Insults from 'The importance of being earnest'.
"Conflict, Risk, and Social Friction","Targeted Insults & ""Roasts""",Literary Insults,Comparing someone to a character in Dante's Inferno.
